sedalea,sedaleaname,fips,stateabb,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesavgall,sesavgasn,sesavgblk,sesavghsp,sesavgnam,sesavgwht,sesavgwhtblk,sesavgwhthsp,lninc50avgall,baplusavgall,unempavgall,snapavgall,povertyavgall,single_momavgall,lninc50avgasn,baplusavgasn,unempavgasn,snapavgasn,povertyavgasn,single_momavgasn,lninc50avgblk,baplusavgblk,unempavgblk,snapavgblk,povertyavgblk,single_momavgblk,lninc50avghsp,baplusavghsp,unempavghsp,snapavghsp,povertyavghsp,single_momavghsp,lninc50avgnam,baplusavgnam,unempavgnam,snapavgnam,povertyavgnam,single_momavgnam,lninc50avgwht,baplusavgwht,unempavgwht,snapavgwht,povertyavgwht,single_momavgwht,sesavgwhtasn,sesavgwhtnam,urbanicity
100005,Albertville City,1,AL,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,.090909094,.90909094,0,0,0,0,355.0303,.0018704035,.0044565583,.40005445,.024528733,.55157578,.59272355,.062739149,.65546268,.62231189,.1438655,.062078554,2130.181818181818,0,0,0,0,2.3995237e-09,4.8755613e-09,-3.6621539e-09,-2.1482860e-09,0,0,0,0,0,0,0,0,-.48328894,,,-1.5206059,,-.12506346,,1.3891518,10.562815,.14380194,.048980329,.15721372,.23776574,.19649373,,,,,,,,,,,,,10.27944,.042531423,.041076545,.25008592,.41797441,.1901269,,,,,,,10.616526,.17185751,.05275476,.12509483,.15933913,.1858584,,,Town
100006,Marshall County,1,AL,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,.16148689,.83851308,0,434.45453,.0035969352,.0020501364,.1850874,.0096166134,.79151207,.62924194,.085382,.71462393,.73859096,.057114702,.11254065,2606.727272727273,.013681833,.081405826,.025051413,-.027252048,.11351729,.16368042,.041926682,.066299252,.013042063,.13267593,.054720733,.074996337,.005985246,.13087033,.04560544,-.023976967,-.15876283,,,-1.3957565,,-.016121143,,1.3867716,10.62818,.15017772,.070802078,.11487688,.19034317,.1410594,,,,,,,,,,,,,10.31811,.036218438,.054872576,.19852272,.40919521,.2026761,,,,,,,10.655486,.15718439,.068629473,.10740864,.16301101,.13465759,,,Rural
100007,Hoover City,1,AL,Pre-Kindergarten,12,.84145743,.0078434777,0,.15069912,0,0,.84145743,.0078434777,0,0,0,0,0,.15069912,0,0,1029.3485,.00075585494,.068535887,.064597562,.23832387,.605654,.19075094,.04666575,.2374167,.24318698,.095343396,.17024024,6176.090909090909,.026082637,.048926163,.028286994,-.012670599,.036187313,.056654237,.04618473,.046217002,.040102281,.040076096,.043170448,.048620846,.038540598,.046328083,.04818365,.0069516893,1.4829046,2.0031035,.27883691,-.19782151,,1.8230124,1.5406907,1.9357098,11.27056,.56209588,.04532101,.030503253,.059249423,.13472176,11.277606,.63519198,.031010542,.018775403,.064237937,.063320637,10.8441,.45436835,.046559207,.083674379,.079179779,.3905775,10.783144,.25343153,.069621548,.16080096,.24592057,.14780968,,,,,,,11.39292,.59722686,.043463215,.013428726,.037321433,.09108191,-.11884934,,City
100008,Madison City,1,AL,Pre-Kindergarten,12,0,.96342516,0,.036574822,0,0,0,.63636363,.32706153,0,0,0,0,.036574822,0,0,717.53033,.0056188754,.088064447,.039771479,.19977258,.64196163,.16542947,.042274613,.2077041,.20735043,.033597402,.10912826,4305.181818181818,.0023715231,.0036509254,.0054087518,-.003297081,.0095026549,.032140192,.0060291686,.011883174,.010289378,.012874592,.0055799545,.012323816,.0089769736,.011401573,.0067463829,.0027286359,1.5297245,2.148582,-.017123308,.45139685,,1.8274226,1.8254788,1.1971632,11.403903,.57009268,.051753294,.039367314,.056977816,.13228181,11.523671,.67338431,.043921538,.011992654,.062485259,.07150539,10.984464,.4512043,.073075026,.13178742,.11688536,.39243382,11.045798,.40031761,.047187988,.12076862,.17969885,.18853399,,,,,,,11.477455,.59211618,.048351433,.020575725,.038489223,.089088634,-.23033492,,Suburb
100011,Leeds City,1,AL,Pre-Kindergarten,12,0,.63636363,.36363637,0,0,0,0,.63636363,0,0,.36363637,0,0,0,0,0,136.0303,.0023715778,.0080156056,.12479622,.23062396,.61464745,.46617982,.078015015,.54419482,.56288415,.050126579,.10864093,816.1818181818181,0,0,0,0,-4.5217794e-09,3.7162720e-09,6.2790089e-09,-4.5297677e-09,0,0,0,0,0,0,0,0,.22988494,,-1.88956,,,.64967632,2.4732742,,10.817399,.25786459,.066678226,.089742333,.13013448,.18934155,,,,,,,10.387002,.12702519,.1571252,.21348879,.25132903,.4035311,,,,,,,,,,,,,10.878054,.27864,.050082054,.068042792,.088262305,.14932632,,,Suburb
100012,Boaz City,1,AL,Pre-Kindergarten,12,0,0,.983684,.016315999,0,0,0,0,0,0,.074593097,.90909094,0,.016315999,0,0,174.69698,.0041914294,.0063778786,.23302764,.018480888,.71582073,.5636363,.084173769,.6478101,.65464073,.071626633,.069196261,1048.181818181818,.00028416514,.00025805741,.00036596655,-.00031808787,.00043437685,.0012515583,.000064858898,.00062042801,.000045284465,.0010810953,.000089061483,.00068694563,.00036438595,.0010918826,.00044292983,.00025424,-.46377313,,,-1.3303244,,-.32000992,,1.2151433,10.46839,.17568429,.070890009,.14238951,.18007573,.21053834,,,,,,,,,,,,,10.399585,.0085642105,.081784375,.20821923,.31682244,.15788658,,,,,,,10.490515,.18898085,.068420753,.12730935,.14765415,.19743523,,,Town
100013,Trussville City,1,AL,Pre-Kindergarten,12,0,.54974878,0,.45025125,0,0,0,.54974878,0,0,0,0,0,.45025125,0,0,341.01517,.002087198,.023099288,.010561599,.10487273,.84604365,.073508032,.020788761,.094296791,.1032858,.0080242306,.065195367,2046.090909090909,.0010317537,.0017561112,-.00077766448,.00045389263,.003240251,.0079512112,.0034578529,.0042075887,.0023716094,.0015013106,.0017810365,.0030252466,.0021869084,.0010115996,-.0022559101,-.00043378508,1.4922049,,.64436382,,,1.551664,.92461485,,11.37153,.40970409,.046663415,.023542022,.03916084,.11264084,,,,,,,11.156133,.36806479,.079022437,.06629774,.05289375,.30989686,,,,,,,,,,,,,11.379626,.41477722,.044451173,.020113874,.037268788,.10433032,,,Suburb
100030,Alexander City,1,AL,Pre-Kindergarten,12,0,0,.7001524,.2998476,0,0,0,0,0,0,0,.52972066,.17043175,.2998476,0,0,237.04546,.0021061867,.0089344736,.040367305,.38835371,.54899824,.53635651,.052062396,.5884189,.60959852,.021707824,.12487014,1422.272727272727,.00025644267,.000019401312,0,.000072340255,.00064906321,.0002343113,.000015592501,.00034473647,.00071277347,.000037270853,.000021512153,.00035019257,.00071524357,.0001532774,0,.0001311145,-.79900366,,-3.0799575,,,.25360999,3.2568815,,10.501702,.17102598,.083606221,.17891851,.20616797,.25505903,,,,,,,10.030525,.060128849,.12948744,.35012996,.36435381,.53970766,,,,,,,,,,,,,10.714724,.22141218,.062212899,.097677208,.11732822,.14442718,,,Town
100060,Andalusia City,1,AL,Pre-Kindergarten,12,0,0,.93537265,.064627364,0,0,0,0,0,0,0,0,.93537265,.064627364,0,0,133.95454,.00033711756,.014713107,.018893166,.32605836,.63049531,.51797926,.058993969,.5769732,.58089656,.0059684278,.10170652,803.7272727272727,-.000027780281,0,0,0,.00020972974,.000051531566,6.8355967e-06,7.4546724e-06,.00020508785,9.7228976e-06,9.4556708e-06,.000010215537,.00020733838,.00006844943,0,.000057041194,-1.007555,,-3.2811358,,,-.16258313,3.0328622,,10.398338,.20747393,.099345721,.17877848,.20338248,.28162202,,,,,,,10.007215,.068637818,.1774554,.33007741,.3489455,.52834147,,,,,,,,,,,,,10.575012,.25745744,.071675889,.12914325,.14105389,.18518792,,,Town
100090,Anniston City,1,AL,Pre-Kindergarten,12,.98145652,0,0,.018543454,0,0,.98145652,0,0,0,0,0,0,.018543454,0,0,155.24243,.00046915442,.0022413465,.030488987,.9011451,.05621507,.86714512,.039641149,.9067862,.87394381,.010214325,.086301297,931.4545454545455,.019607553,-.017189136,-.030073658,-.038264554,.062976167,.099564157,.039209563,.041704554,.031340852,.095979102,.035561461,.03172949,.029312246,.0051701269,-.0044786856,-.020460723,-1.5316958,,-3.2658129,,,.24497995,3.4455464,,10.395377,.21519367,.12613146,.22883274,.26152381,.32918468,,,,,,,10.06089,.11126953,.18120858,.35962003,.38124281,.51610327,,,,,,,,,,,,,10.68311,.29926059,.069877997,.097565733,.12241761,.14914282,,,City
